5.397371322408986316e+00,4.889388559063052142e+00
5.518150830480553992e+00,6.218423885126420636e+00
4.812677300221331222e+00,4.812690434440655807e+00
6.263370252405913163e+00,5.613947783322327467e+00
4.624420491252037912e+00,5.434048034868771637e+00
4.629265845750030195e+00,4.627416197143794818e+00
5.193569817252827292e+00,3.469375804273761688e+00
3.620065733989573431e+00,4.550169976607222111e+00
1.818973510373245972e+01,5.251397866076219501e+00
1.827358073958303208e+01,3.870157038931766991e+00
2.017251901513724377e+01,4.819378959610771673e+00
1.905402256375034042e+01,3.860201451029234399e+00
1.856449382037985529e+01,5.088738071767893167e+00
1.807920513806215723e+01,5.300558414676537211e+00
1.851948904806495477e+01,4.766645000165378399e+00
1.851863471021648166e+01,6.481822547607150042e+00
5.397371322408986316e+00,4.889388559063052142e+00
5.518150830480553992e+00,6.218423885126420636e+00
4.812677300221331222e+00,4.812690434440655807e+00
6.263370252405913163e+00,5.613947783322327467e+00
4.624420491252037912e+00,5.434048034868771637e+00
4.629265845750030195e+00,4.627416197143794818e+00
5.193569817252827292e+00,3.469375804273761688e+00
1.262006573398957343e+01,4.550169976607222111e+00
1.318973510373246150e+01,5.251397866076219501e+00
1.327358073958303208e+01,3.870157038931766991e+00
1.517251901513724377e+01,4.819378959610771673e+00
1.405402256375033865e+01,3.860201451029234399e+00
1.356449382037985352e+01,5.088738071767893167e+00
1.307920513806215723e+01,5.300558414676537211e+00
8.000000000000000000e+00,5.000000000000000000e+00
1.000000000000000000e+01,5.000000000000000000e+00
1.200000000000000000e+01,5.000000000000000000e+00
